Australian Road Deaths Database: Fatalities,,,,,,,,,,,,,,,,,,,
(Data current to February 2026),,,,,,,,,,,,,,,,,,,
Note: A value of '-9' is used for a missing/unknown value.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas 2021,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period
5201106170079,WA,6,2011,Friday,22:30:00,Single,No,No,No,70,Driver,Male,46,Unknown,Unknown,Unknown,Unknown,No,No
4201105140046,SA,5,2011,Saturday,14:11:00,Single,No,No,No,100,Driver,Female,19,Unknown,Unknown,Unknown,Unknown,No,No
1199410070402,NSW,10,1994,Friday,18:00:00,Multiple,No,-9,No,60,Driver,Female,35,Unknown,Unknown,Unknown,Unknown,No,No
3201212280255,QLD,12,2012,Friday,21:00:00,Multiple,No,No,No,100,Passenger,Female,38,Unknown,Unknown,Unknown,Unknown,Yes,No
3201110220178,QLD,10,2011,Saturday,13:00:00,Multiple,No,No,No,60,Motorcycle rider,Male,28,Unknown,Unknown,Unknown,Unknown,No,No
2201311290200,VIC,11,2013,Friday,12:30:00,Single,No,No,No,100,Motorcycle rider,Male,48,Unknown,Unknown,Unknown,Unknown,No,No
2200808240184,VIC,8,2008,Sunday,02:00:00,Multiple,No,No,No,50,Passenger,Female,17,Unknown,Unknown,Unknown,Unknown,No,No
3200211030241,QLD,11,2002,Sunday,00:00:00,Single,No,No,No,80,Driver,Male,31,Unknown,Unknown,Unknown,Unknown,No,No
2200906280131,VIC,6,2009,Sunday,01:26:00,Multiple,No,No,No,80,Passenger,Female,13,Unknown,Unknown,Unknown,Unknown,No,No
1199310090384,NSW,10,1993,Saturday,08:30:00,Single,No,-9,No,100,Driver,Male,52,Unknown,Unknown,Unknown,Unknown,No,No
4198901190011,SA,1,1989,Thursday,18:00:00,Multiple,No,-9,No,60,Driver,Male,67,Unknown,Unknown,Unknown,Unknown,No,No
3199512020381,QLD,12,1995,Saturday,15:00:00,Single,No,-9,No,100,Passenger,Male,74,Unknown,Unknown,Unknown,Unknown,No,No
1200312040442,NSW,12,2003,Thursday,13:20:00,Single,No,No,No,50,Pedestrian,Female,74,Unknown,Unknown,Unknown,Unknown,No,No
120161089225,NSW,1,2016,Monday,21:45:00,Single,No,No,No,60,Driver,Female,17,Major Cities of Australia,Central Coast,Central Coast (NSW),Local Road,No,No
3199006120134,QLD,6,1990,Tuesday,15:00:00,Multiple,No,-9,No,60,Passenger,Female,71,Unknown,Unknown,Unknown,Unknown,No,No
5201403220034,WA,3,2014,Saturday,11:50:00,Single,No,No,No,110,Passenger,Female,62,Very Remote Australia,Western Australia - Outback (North),Halls Creek,Arterial Road,No,No
8347853733947891919,VIC,9,2024,Wednesday,22:06:00,Multiple,No,No,No,60,Pedestrian,Male,39,Inner Regional Australia,Melbourne - Outer East,Yarra Ranges,Local Road,No,No
6977911337257865994,QLD,8,2025,Saturday,15:00:00,Single,No,No,No,50,Pedestrian,Female,66,Outer Regional Australia,Central Queensland,Banana,Local Road,No,No
320170830142,QLD,5,2017,Saturday,08:00:00,Multiple,No,No,No,100,Driver,Male,45,Outer Regional Australia,Wide Bay,Bundaberg,National or State Highway,No,No
3199201250023,QLD,1,1992,Saturday,00:00:00,Single,No,-9,No,60,Passenger,Male,18,Unknown,Unknown,Unknown,Unknown,No,No
4201003180029,SA,3,2010,Thursday,21:10:00,Single,No,No,No,110,Driver,Female,48,Unknown,Unknown,Unknown,Unknown,No,No
7407475693494394740,VIC,12,2016,Tuesday,05:40:00,Single,No,No,No,100,Passenger,Male,29,Major Cities of Australia,Melbourne - South East,Unknown,Unknown,Yes,No
1199312110482,NSW,12,1993,Saturday,22:20:00,Single,No,-9,No,60,Driver,Male,22,Unknown,Unknown,Unknown,Unknown,No,No
83562823002712467,NSW,6,2024,Friday,18:20:00,Multiple,No,No,No,60,Motorcycle rider,Male,22,Major Cities of Australia,Central Coast,Central Coast (NSW),Local Road,No,No
8311774233680147406,VIC,12,2022,Friday,19:59:00,Single,-9,-9,-9,80,Motorcycle rider,Male,33,Outer Regional Australia,Hume,Mansfield,Sub-arterial Road,Yes,No
5199410210155,WA,10,1994,Friday,16:30:00,Single,No,-9,No,60,Unknown,Male,15,Unknown,Unknown,Unknown,Unknown,No,No
